tag,step,wall_time,value
cls_loss/train,100,1782081374.9206183,0.05140121281147003
cls_loss/train,200,1782081489.0018053,0.037089016288518906
cls_loss/train,300,1782081602.2938359,0.03012065589427948
cls_loss/train,400,1782081717.6569107,0.01396443136036396
cls_loss/train,500,1782081831.3503385,0.014491647481918335
cls_loss/train,600,1782081944.6816802,0.013840191066265106
cls_loss/train,700,1782082060.1071708,0.011280491016805172
cls_loss/train,800,1782082174.2129436,0.01165137067437172
cls_loss/train,900,1782082288.1123483,0.011470098048448563
cls_loss/train,1000,1782082404.3401403,0.01043351273983717
cls_loss/train,1100,1782082518.4048855,0.01001475378870964
cls_loss/train,1200,1782082632.4065573,0.00971809308975935
cls_loss/train,1300,1782082748.2962954,0.008806345984339714
cls_loss/train,1400,1782082862.4127946,0.009013024158775806
cls_loss/train,1500,1782082976.2556999,0.009031087160110474
cls_loss/train,1600,1782083092.3294914,0.007965954020619392
cls_loss/train,1700,1782083205.7002354,0.008287424221634865
cls_loss/train,1800,1782083320.0141783,0.008417782373726368
cls_loss/train,1900,1782083436.0884576,0.007290632463991642
cls_loss/train,2000,1782083550.0399857,0.007594871800392866
cls_loss/train,2100,1782083664.2330282,0.007581168320029974
cls_loss/train,2200,1782083780.605012,0.007933225482702255
cls_loss/train,2300,1782083894.7070549,0.007060219533741474
cls_loss/train,2400,1782084009.125606,0.007076606620103121
cls_loss/train,2500,1782084125.2663364,0.006745115388184786
cls_loss/train,2600,1782084239.1154234,0.00674029253423214
cls_loss/train,2700,1782084353.316706,0.006487452425062656
cls_loss/train,2800,1782084468.883733,0.005237584467977285
cls_loss/train,2900,1782084582.7827866,0.005990722216665745
cls_loss/train,3000,1782084696.865014,0.0060392883606255054
cls_loss/train,3100,1782085089.5569015,0.006437529344111681
cls_loss/train,3200,1782085202.9865396,0.005695040337741375
cls_loss/train,3300,1782085315.8330972,0.0056113931350409985
cls_loss/train,3400,1782085430.3238766,0.0038220591377466917
cls_loss/train,3500,1782085543.030717,0.005397404078394175
cls_loss/train,3600,1782085655.7052636,0.005114429630339146
cls_loss/train,3700,1782085768.4944189,0.005096407141536474
cls_loss/train,3800,1782085883.253342,0.004712227266281843
cls_loss/train,3900,1782085995.9030635,0.004752872511744499
cls_loss/train,4000,1782086108.3374424,0.004731984343379736
cls_loss/train,4100,1782086222.9960306,0.004527816083282232
cls_loss/train,4200,1782086335.753235,0.004371489863842726
cls_loss/train,4300,1782086448.401119,0.004433106165379286
cls_loss/train,4400,1782086563.0509284,0.00482485257089138
cls_loss/train,4500,1782086675.44794,0.0045628328807652
cls_loss/train,4600,1782086788.0798194,0.004476810339838266
cls_loss/train,4700,1782086903.521024,0.004307931289076805
cls_loss/train,4800,1782087015.846765,0.004198091570287943
cls_loss/train,4900,1782087128.7188733,0.004129497800022364
cls_loss/train,5000,1782087243.186733,0.0037796697579324245
cls_loss/train,5100,1782087355.617222,0.004013953730463982
cls_loss/train,5200,1782087468.3505354,0.003863599617034197
cls_loss/train,5300,1782087582.4573653,0.003937375731766224
cls_loss/train,5400,1782087694.759699,0.0036877128295600414
cls_loss/train,5500,1782087807.4143305,0.0036334230098873377
cls_loss/train,5600,1782087922.553881,0.003971186000853777
cls_loss/train,5700,1782088035.1541228,0.003773550968617201
cls_loss/train,5800,1782088147.7098105,0.003488999092951417
cls_loss/train,5900,1782088262.62747,0.0034940505865961313
cls_loss/train,6000,1782088375.1433756,0.0033311264123767614
cls_loss/train,6100,1782088487.3492067,0.003344884840771556
cls_loss/train,6200,1782088866.7055879,0.003131851088255644
cls_loss/train,6300,1782088979.8928056,0.0030537054408341646
cls_loss/train,6400,1782089093.3363745,0.003079008776694536
cls_loss/train,6500,1782089208.027839,0.0030298687051981688
cls_loss/train,6600,1782089320.601281,0.0031243842095136642
cls_loss/train,6700,1782089432.7609887,0.003020958974957466
cls_loss/train,6800,1782089547.5980682,0.002558841137215495
cls_loss/train,6900,1782089660.1463327,0.003056056797504425
cls_loss/train,7000,1782089772.4375515,0.0029308891389518976
cls_loss/train,7100,1782089885.4029217,0.00292606302537024
cls_loss/train,7200,1782089999.9603713,0.002840096363797784
cls_loss/train,7300,1782090112.6298435,0.002907742280513048
cls_loss/train,7400,1782090225.0179756,0.002834464656189084
cls_loss/train,7500,1782090339.9320247,0.002820470603182912
cls_loss/train,7600,1782090451.9281466,0.0027350126765668392
cls_loss/train,7700,1782090564.276219,0.0026976545341312885
cls_loss/train,7800,1782090679.9364693,0.002455026376992464
cls_loss/train,7900,1782090792.4949791,0.0025660579558461905
cls_loss/train,8000,1782090904.8257377,0.0025422400794923306
cls_loss/train,8100,1782091020.0899603,0.002329091774299741
cls_loss/train,8200,1782091132.8878171,0.0024129131343215704
cls_loss/train,8300,1782091245.0228357,0.0024338760413229465
cls_loss/train,8400,1782091359.2476792,0.002405718667432666
cls_loss/train,8500,1782091472.1504052,0.0023867436684668064
cls_loss/train,8600,1782091584.669823,0.0023977691307663918
cls_loss/train,8700,1782091699.4127188,0.0022628726437687874
cls_loss/train,8800,1782091812.2615936,0.002350824885070324
cls_loss/train,8900,1782091924.9182465,0.00231639645062387
cls_loss/train,9000,1782092039.3980587,0.0022543370723724365
cls_loss/train,9100,1782092152.1915238,0.00217142584733665
cls_loss/train,9200,1782092264.7992904,0.0021042749285697937
cls_loss/train,9300,1782092644.4755552,0.002135414397343993
cls_loss/train,9400,1782092757.2684407,0.002201605821028352
